Front,Back,Tags,Type
"What are the EXACT auto-swap configuration steps for Azure App Service deployment slots?","1. Configure during slot creation or in deployment settings<br>2. Enable Auto-Swap to automatically swap staging slot to production after deployment completion<br>3. Zero-downtime deployment with automatic warm-up process<br>4. Fail-safe rollback if deployment health checks fail<br>5. Perfect for CI/CD integration with automated pipelines","App Service,Containers,Critical,High Priority","MCQ"
"In VNet + SQL Database security configuration, what is the CORRECT sequence to avoid connectivity loss?","**C→A→D→B→E Sequence:**<br>**C** - VNet Integration (connect App Service to VNet subnet first)<br>**A** - Service Endpoint (enable Microsoft.Sql on subnet)<br>**D** - Firewall rules (update SQL DB to allow subnet access)<br>**B** - Disable public access (turn off internet access to SQL DB)<br>**E** - Test connectivity (verify end-to-end connection)<br><br>**Critical:** Must establish VNet integration and service endpoints BEFORE disabling public access","App Service,Security,VNet,High Priority","Flip"
"What is the complete Container Security Pipeline implementation for ACR?","**Three-Layer Approach:**<br>1. **Microsoft Defender for Containers** - Detection & reporting (native vulnerability scanning)<br>2. **ACR Tasks** - Automated scanning in CI/CD pipeline (shift-left security)<br>3. **Azure Policy** - Governance & enforcement (deny unscanned/vulnerable images)<br><br>**Result:** Only approved, secure images reach production<br><br>**Why this combo works:** Defender scans, ACR Tasks automates, Policy enforces","Containers,Security,ACR,Critical,High Priority","Flip"
"Azure Container Instances (ACI) scaling limitation vs AKS?","**ACI Limitation:** NO in-place auto-scaling<br><br>**Scaling Process:**<br>1. Delete existing container group<br>2. Modify resource specs (CPU/memory)<br>3. Redeploy with new configuration<br><br>**ACI vs AKS:**<br>• ACI = Delete/redeploy (brief downtime)<br>• AKS = In-place HPA (zero downtime)<br><br>**Mnemonic:** ACI = ""A Container, Immutable""","ACI,Scaling,Containers,High Priority","MCQ"
"What are Fault Domains (FD) vs Update Domains (UD) in Azure?","**Fault Domains (FD):**<br>• Hardware isolation (rack, power, network switch)<br>• VMs in same FD can fail together<br>• Max 3 FDs in most regions<br><br>**Update Domains (UD):**<br>• Maintenance isolation (planned updates)<br>• Only one UD updated at a time<br>• Up to 20 UDs (default 5)<br><br>**Key:** FD = Hardware failure protection, UD = Maintenance isolation","VM,Availability,Fault Domains,High Priority","Flip"
"VMSS Orchestration Modes - Uniform vs Flexible comparison?","**Uniform Mode:**<br>• Identical VMs (same size/config)<br>• Up to 5 FDs (Platform Managed)<br>• Required Load Balancer for auto-scaling<br>• Automatic scale-in policy<br>• Best for: Stateless apps, web tiers<br><br>**Flexible Mode:**<br>• Mixed VM sizes & types allowed<br>• Up to 1000 FDs (Max Spreading)<br>• Optional Load Balancer<br>• Manual instance selection<br>• Best for: Stateful apps, databases","VMSS,Scaling,High Priority","MCQ"
"D-G-W-C sequence for encrypted VM migration?","**""Don't Go Without Coffee""**<br><br>**D** - Deallocate (stop VM, release compute)<br>**G** - Create target resource Group<br>**W** - Wait for deletion (az vm wait --deleted)<br>**C** - reCreate VM with encrypted disk<br><br>**Critical:** Portal move fails for encrypted VMs<br>**Mandatory:** az vm wait --deleted prevents ""resource in use"" errors","VM,Encryption,Migration,Critical,High Priority","Flip"
"What App Service runtime constraints exist between Windows and Linux plans?","**Windows Only:** ASP.NET, .NET Framework<br>**Linux Only:** Ruby, Docker Multi-Container<br>**Both:** .NET Core, Node.js, PHP, Python, Java<br><br>**Critical:** Cannot run .NET Framework (Windows) and Ruby (Linux) in same App Service Plan<br><br>**Multiple Apps:** All apps in plan share CPU/memory and must match plan OS","App Service,Runtime,OS Constraints,High Priority","MCQ"
"Container Apps ingress configuration options?","**External Ingress:**<br>• Internet traffic with public FQDN<br>• Format: app.kindcliff-123.eastus.azurecontainerapps.io<br><br>**Internal Ingress:**<br>• VNet only access - no internet<br><br>**Disabled:**<br>• No HTTP ingress<br><br>**Key Settings:**<br>• Target Port: Must match container listen port<br>• Traffic Splitting: Blue/green deployments","Container Apps,Ingress,High Priority","MCQ"
"Network Watcher Agent deployment methods?","**VM Extension:**<br>• Windows: Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentWindows<br>• Linux: Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux<br><br>**Deployment:**<br>• Portal: VM → Extensions + Applications → Add NetworkWatcherAgent<br>• CLI: az vm extension set --name NetworkWatcherAgentLinux<br>• Auto-Install: When packet capture initiated<br><br>**Uses:** Packet capture, network diagnostics, troubleshooting","Network Watcher,Monitoring,High Priority","Flip"
"Azure Disk Encryption (ADE) end-to-end flow?","**6-Step Process:**<br>1. Create VM (Portal/CLI/PowerShell)<br>2. Create Key Vault with -EnabledForDiskEncryption<br>3. Enable ADE via PowerShell (Set-AzVmDiskEncryptionExtension)<br>4. Disks encrypted (BitLocker/DM-Crypt)<br>5. Disable/Decrypt via ARM template if needed<br>6. Manual vs ARM template management interaction<br><br>**Key:** ARM templates can override manual settings","VM,Encryption,Security,Medium Priority","Flip"
"VM sizes and series - when to use which?","**General Purpose (D, B, Av2):** Balanced CPU/memory, web apps, dev/test<br>**Compute Optimized (F):** High CPU ratio, app servers, batch processing<br>**Memory Optimized (E, M):** High RAM, databases, in-memory analytics<br>**Storage Optimized (L):** High IOPS, big data, NoSQL databases<br>**GPU (N):** AI/ML, graphics rendering<br>**HPC (H):** Scientific computing, simulations<br><br>**B-series:** Burstable performance for variable workloads","VM,Sizing,Performance,Medium Priority","MCQ"
"Azure Backup vs Azure Site Recovery differences?","**Azure Backup:**<br>• Agentless VM backup service<br>• File, disk, and full VM restore<br>• Point-in-time recovery<br>• Uses Recovery Services Vault<br><br>**Azure Site Recovery (ASR):**<br>• VM replication for disaster recovery<br>• Failover to another region/on-prem<br>• Business continuity focus<br>• Orchestrated failover/failback","VM,Backup,Disaster Recovery,Medium Priority","MCQ"
"VM disk types and caching strategies?","**Disk Types:**<br>• Standard HDD: Dev/test, backup (high latency)<br>• Standard SSD: Better latency, web/light apps<br>• Premium SSD: Production, databases, high IOPS<br>• Ultra Disk: Top-tier, SAP HANA, dynamic performance<br><br>**Caching:**<br>• OS Disk: Read/Write<br>• Data Disk: None/ReadOnly/ReadWrite (ReadOnly best for SQL data)<br>• Temp Disk: Ephemeral, lost on deallocate/resize/host failure","VM,Storage,Performance,Medium Priority","Flip"
"App Service Plan scaling - Scale Up vs Scale Out?","**Scale Up (Vertical):**<br>• Change Pricing Tier/SKU (B1→S1, P1V2→P2V2)<br>• More power per instance (CPU, memory, disk)<br>• Causes application restarts<br><br>**Scale Out (Horizontal):**<br>• Change instance count<br>• Add/remove VM instances<br>• No downtime for existing instances<br>• Manual or automatic (autoscale)<br><br>**Key:** You scale the PLAN, not individual apps","App Service,Scaling,Core Concept,Medium Priority","MCQ"
"Deployment slot configuration and slot settings?","**Slot Settings (Environment-specific):**<br>• Mark as ""Deployment slot setting"" to prevent swapping<br>• Connection strings (different DBs for staging/prod)<br>• App settings (environment variables, API keys)<br>• Maintains environment isolation<br><br>**Swap Process:**<br>• Deploy to staging slot<br>• Test thoroughly<br>• Swap staging↔production<br>• Old production moves to staging (rollback ready)<br><br>**Availability:** Standard, Premium, Isolated tiers only","App Service,Deployment Slots,Medium Priority","Flip"
"VM network interface (NIC) configuration rules?","**NIC Rules:**<br>• VM needs ≥1 NIC to connect to VNet<br>• Primary NIC: Cannot delete without deleting VM, has default gateway<br>• Secondary NICs: VM size-dependent, for network appliances<br><br>**IP Addressing:**<br>• Private IP: Dynamic (default) or Static (recommended for servers)<br>• Public IP: Basic or Standard SKU, Dynamic/Static assignment<br><br>**NSG Association:** Can attach to NICs or subnets","VM,Networking,Medium Priority","MCQ"
"Azure Monitor vs Application Insights vs Log Analytics?","**Azure Monitor:**<br>• Platform metrics (CPU, memory, network)<br>• Resource logs via Diagnostic Settings<br>• Alerts based on metrics/logs<br><br>**Application Insights:**<br>• Deep application performance monitoring (APM)<br>• Tracks requests, dependencies, exceptions<br>• Requires code instrumentation<br><br>**Log Analytics:**<br>• Centralized log storage and querying<br>• KQL (Kusto Query Language)<br>• Workspace for multiple data sources","Monitoring,Observability,Medium Priority","Flip"
"Container Apps vs ACI vs AKS vs App Service comparison?","**Container Apps:** Microservices, serverless, auto-scale to zero<br>**ACI:** Simple containers, batch jobs, minimal management<br>**AKS:** Complex orchestration, enterprise, full Kubernetes<br>**App Service:** Web apps/APIs (PaaS), managed platform<br><br>**Scaling:**<br>• Container Apps: Auto (including scale-to-zero)<br>• ACI: Manual scaling only<br>• AKS: Advanced (HPA, VPA, KEDA)<br>• App Service: Auto & manual","Containers,Comparison,Medium Priority","MCQ"
"Custom domain and SSL certificate options in App Service?","**Custom Domain Setup:**<br>• DNS configuration: CNAME for www, A record for root/apex<br>• awverify TXT record for validation<br><br>**SSL/TLS Certificates:**<br>• App Service Managed: Free, auto-renewed (non-apex domains)<br>• Upload Your Own: PFX from CA or Key Vault<br>• SNI SSL vs IP SSL bindings<br><br>**DNS Records:**<br>• CNAME: www.domain.com → app.azurewebsites.net<br>• A Record: domain.com → App Service IP","App Service,SSL,DNS,Medium Priority","Flip"
"VM state control - Start vs Stop vs Deallocate?","**Start:**<br>• Powers on VM<br>• Compute charges apply<br>• Ready for connections<br><br>**Stop (OS Shutdown):**<br>• OS shutdown only<br>• Compute still charged<br>• VM allocated to host<br><br>**Stop (Deallocate):**<br>• Releases CPU/memory<br>• Compute charges stop<br>• Storage charges continue<br>• Public IP may change (if dynamic)","VM,State Management,Medium Priority","MCQ"
"Azure autoscale rules and best practices?","**Triggers:**<br>• CPU Percentage: Scale out >70%, scale in <30%<br>• Memory Percentage: Available on newer VM generations<br>• Network In/Out: Bandwidth utilization<br>• Queue Metrics: Service Bus, Storage Queue depth<br>• Schedule-based: Business hours, predictable patterns<br><br>**Best Practices:**<br>• Cool-down period: 5+ minutes between operations<br>• Avoid scale thrashing<br>• Set appropriate min/max limits","Scaling,Autoscale,Best Practices,Medium Priority","Flip"
"VNet Integration vs Private Endpoints differences?","**VNet Integration:**<br>• Outbound connectivity FROM App Service<br>• Access VMs, PaaS services in VNet<br>• Regional - same region required<br>• Requires dedicated subnet (/28 or larger)<br>• Non-transitive across peerings<br><br>**Private Endpoints:**<br>• Inbound connectivity TO App Service<br>• Private IP within VNet<br>• No public internet exposure<br>• Provides private access to your app","App Service,Networking,Security,Medium Priority","MCQ"
"ARM template vs Bicep vs Terraform differences?","**ARM Templates:**<br>• Declarative JSON<br>• Native Azure, idempotent<br>• Foundation for IaC in Azure<br><br>**Bicep:**<br>• Simpler DSL (Domain Specific Language)<br>• Transpiles to ARM JSON<br>• Azure-specific, cleaner syntax<br><br>**Terraform:**<br>• Multi-cloud IaC<br>• HCL syntax<br>• State management required<br><br>**Key:** All achieve Infrastructure as Code","IaC,ARM,Bicep,Terraform,Medium Priority","MCQ"
"Azure Storage account types and use cases?","**General Purpose v2 (GPv2):**<br>• Recommended for most scenarios<br>• Supports all storage services<br>• Hot, Cool, Archive tiers<br><br>**Premium:**<br>• Page blobs only (VM disks)<br>• High IOPS, low latency<br><br>**General Purpose v1 (GPv1):**<br>• Legacy, classic deployment model<br>• Limited features vs GPv2<br><br>**FileStorage:**<br>• Premium file shares only<br>• High-performance workloads","Storage,Account Types,Low Priority","MCQ"
"Blob lifecycle management policy examples?","**Common Patterns:**<br>• Hot → Cool after 30 days of no access<br>• Cool → Archive after 90 days in Cool<br>• Delete blobs after 365 days<br>• Move snapshots to Archive after 90 days<br><br>**Use Cases:**<br>• Cost optimization for aging data<br>• Compliance requirements<br>• Automated data management<br>• Log retention policies","Storage,Lifecycle,Low Priority","Flip"
"Azure Files vs Azure File Sync differences?","**Azure Files:**<br>• Fully managed file shares<br>• SMB and NFS protocols<br>• Cloud-native storage<br>• Direct cloud access<br><br>**Azure File Sync:**<br>• Hybrid file storage solution<br>• Sync on-premises Windows Server with Azure Files<br>• Cloud tiering capabilities<br>• Centralized management<br><br>**Use Case:** File Sync for hybrid scenarios with on-premises caching","Storage,File Sync,Low Priority","MCQ"