Original_Name,New_Name,Type,Domain,Size_MB,Date_Modified,Associated_Guide,Local_Path
 Linux File Permissions & Azure Compute.wav,AZ-104-Compute-Linux_File_Permissions_&_Azure_Compute.wav,WAV,Compute,44.71,2025-03-29,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Linux_File_Permissions_&_Azure_Compute.wav
ACI_Cost_vs.m4a,AZ-104-Compute-ACI_Cost_vs.m4a,M4A,Compute,20.05,2025-10-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-ACI_Cost_vs.m4a
ADE_Cross-Region_VM_Migration__The_Mandatory_D-G-W-C_Azure_CLI_.m4a,AZ-104-Compute-ADE_Cross-Region_VM_Migration__The_Mandatory_D-G-W-C_Azure_CLI_.m4a,M4A,Compute,19.64,2025-11-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-ADE_Cross-Region_VM_Migration__The_Mandatory_D-G-W-C_Azure_CLI_.m4a
AZ-104   Azure Virtual Networks key insights  (VNets) .wav,AZ-104-Networking-Azure_Virtual_Networks_key_insights_(VNets).wav,WAV,Networking,65.6,2025-06-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Virtual_Networks_key_insights_(VNets).wav
AZ-104   flip my 4Geeks full-stack skills into Azure .wav,AZ-104-flip_my_4Geeks_full-stack_skills_into_Azure.wav,WAV,General,35.97,2025-04-16,,Conversations /AZ-104 CONVERSATIONS/AZ-104-flip_my_4Geeks_full-stack_skills_into_Azure.wav
AZ-104  App Service Flash card essentials.wav,AZ-104-Compute-App_Service_Flash_card_essentials.wav,WAV,Compute,32.92,2025-06-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-App_Service_Flash_card_essentials.wav
AZ-104  Azure Blob vs File Storage.wav,AZ-104-Storage-Azure_Blob_vs_File_Storage.wav,WAV,Storage,66.87,2025-04-05,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Azure_Blob_vs_File_Storage.wav
AZ-104  Azure RBAC.wav,AZ-104-Identity-Azure_RBAC.wav,WAV,Identity,56.74,2025-03-30,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Azure_RBAC.wav
AZ-104  Azure Trusted Launchwav.wav,AZ-104-Azure_Trusted_Launchwav.wav,WAV,General,27.79,2025-05-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Azure_Trusted_Launchwav.wav
AZ-104  Azure Virtual Network.wav,AZ-104-Networking-Azure_Virtual_Network.wav,WAV,Networking,72.38,2025-06-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Virtual_Network.wav
AZ-104  File share Config-.wav,AZ-104-Storage-File_share_Config-.wav,WAV,Storage,47.71,2025-04-24,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-File_share_Config-.wav
AZ-104  Governance and Compliance.wav,AZ-104-Governance-Governance_and_Compliance.wav,WAV,Governance,44.62,2025-04-04,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Governance-Governance_and_Compliance.wav
AZ-104  Lab- Deploy Static HTML App with `az webapp up`.wav,AZ-104-Compute-Lab-_Deploy_Static_HTML_App_with_az_webapp_up.wav,WAV,Compute,28.31,2025-05-27,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Lab-_Deploy_Static_HTML_App_with_az_webapp_up.wav
AZ-104  NetworkSecurityGroup 2 NSG.wav,AZ-104-Networking-NetworkSecurityGroup_2_NSG.wav,WAV,Networking,54.27,2025-06-20,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-NetworkSecurityGroup_2_NSG.wav
AZ-104  NetworkSecurityGroup NSG.wav,AZ-104-Networking-NetworkSecurityGroup_NSG.wav,WAV,Networking,46.44,2025-06-15,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-NetworkSecurityGroup_NSG.wav
AZ-104  Networking & Security Components.wav,AZ-104-Networking-Networking_&_Security_Components.wav,WAV,Networking,49.78,2025-05-08,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Networking_&_Security_Components.wav
AZ-104  Networks and Availability Zones.wav,AZ-104-Networking-Networks_and_Availability_Zones.wav,WAV,Networking,35.32,2025-06-17,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Networks_and_Availability_Zones.wav
"AZ-104  Simulation + Optimised Explanations create username, resources, roles.wav","AZ-104-Networking-Simulation_+_Optimised_Explanations_create_username,_resources,_roles.wav",WAV,Networking,46.4,2025-04-12,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Simulation_+_Optimised_Explanations_create_username,_resources,_roles.wav"
AZ-104  _ ARM Templates.wav,AZ-104-Governance-ARM_Templates.wav,WAV,Governance,41.08,2025-04-20,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Governance-ARM_Templates.wav
AZ-104  _ Import:Export Jobs 2.wav,AZ-104-ImportExport_Jobs_2.wav,WAV,General,39.5,2025-04-15,,Conversations /AZ-104 CONVERSATIONS/AZ-104-ImportExport_Jobs_2.wav
AZ-104  _ Shared Responsibilit.wav,AZ-104-Shared_Responsibilit.wav,WAV,General,37.75,2025-05-02,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Shared_Responsibilit.wav
AZ-104  _ Storage Explorer & AZCopy .wav,AZ-104-Storage-Storage_Explorer_&_AZCopy.wav,WAV,Storage,28.2,2025-04-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Storage_Explorer_&_AZCopy.wav
AZ-104  _ARM Template step-by-step breakdown .wav,AZ-104-Governance-ARM_Template_step-by-step_breakdown.wav,WAV,Governance,41.95,2025-04-20,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Governance-ARM_Template_step-by-step_breakdown.wav
AZ-104  _Blob-storage.wav,AZ-104-Storage-Blob-storage.wav,WAV,Storage,43.62,2025-04-25,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Blob-storage.wav
AZ-104  _Object Replication Setup .wav,AZ-104-Object_Replication_Setup.wav,WAV,General,40.28,2025-04-15,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Object_Replication_Setup.wav
AZ-104  _Storage Account Encryption .wav,AZ-104-Storage-Storage_Account_Encryption.wav,WAV,Storage,32.2,2025-04-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Storage_Account_Encryption.wav
AZ-104  _Storage Redundancy .wav,AZ-104-Storage-Storage_Redundancy.wav,WAV,Storage,38.24,2025-04-15,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Storage_Redundancy.wav
"AZ-104  _Storage Redundancy. Cover LRS, ZRS, GRS, RA-GRS, and GZRS..wav","AZ-104-Storage-Storage_Redundancy._Cover_LRS,_ZRS,_GRS,_RA-GRS,_and_GZRS..wav",WAV,Storage,29.34,2025-04-25,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Storage_Redundancy._Cover_LRS,_ZRS,_GRS,_RA-GRS,_and_GZRS..wav"
"AZ-104  _practice exam questions based on Azure AD user creation, resource group creation, and RBAC role assignment.wav","AZ-104-Identity-practice_exam_questions_based_on_Azure_AD_user_creation,_resource_group_creation,_and_RBAC_role_assignment.wav",WAV,Identity,59.64,2025-04-12,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-practice_exam_questions_based_on_Azure_AD_user_creation,_resource_group_creation,_and_RBAC_role_assignment.wav"
AZ-104  all Azure Plans layers Essentials .wav,AZ-104-all_Azure_Plans_layers_Essentials.wav,WAV,General,39.57,2025-06-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-all_Azure_Plans_layers_Essentials.wav
AZ-104  architecture from root to subscription.wav,AZ-104-architecture_from_root_to_subscription.wav,WAV,General,63.53,2025-05-08,,Conversations /AZ-104 CONVERSATIONS/AZ-104-architecture_from_root_to_subscription.wav
AZ-104  az104_linux_vm_add_disk_ade_guide.wav,AZ-104-Compute-az104_linux_vm_add_disk_ade_guide.wav,WAV,Compute,34.14,2025-05-18,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-az104_linux_vm_add_disk_ade_guide.wav
AZ-104  basics key pillars 2_0.wav,AZ-104-basics_key_pillars_2_0.wav,WAV,General,69.53,2025-05-28,,Conversations /AZ-104 CONVERSATIONS/AZ-104-basics_key_pillars_2_0.wav
AZ-104  basics key pillars 3_0.wav,AZ-104-basics_key_pillars_3_0.wav,WAV,General,85.07,2025-06-19,,Conversations /AZ-104 CONVERSATIONS/AZ-104-basics_key_pillars_3_0.wav
AZ-104  basics key pillars_0.wav,AZ-104-basics_key_pillars_0.wav,WAV,General,64.38,2025-05-28,,Conversations /AZ-104 CONVERSATIONS/AZ-104-basics_key_pillars_0.wav
AZ-104  containers to app services .wav,AZ-104-Compute-containers_to_app_services.wav,WAV,Compute,44.83,2025-06-08,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-containers_to_app_services.wav
AZ-104  containers to app services deep dive .wav,AZ-104-Compute-containers_to_app_services_deep_dive.wav,WAV,Compute,61.96,2025-06-08,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-containers_to_app_services_deep_dive.wav
AZ-104 : 900 Azure Lynux IAM VMs and containers.wav,AZ-104-Compute-_900_Azure_Lynux_IAM_VMs_and_containers.wav,WAV,Compute,61.03,2025-03-28,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-_900_Azure_Lynux_IAM_VMs_and_containers.wav
"AZ-104 : 900Azure  Azure Automation, ARM templates, PowerShell.wav","AZ-104-Governance-_900Azure_Azure_Automation,_ARM_templates,_PowerShell.wav",WAV,Governance,77.46,2025-03-28,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Governance-_900Azure_Azure_Automation,_ARM_templates,_PowerShell.wav"
AZ-104 ACI K8S Deepdive container management.wav,AZ-104-Compute-ACI_K8S_Deepdive_container_management.wav,WAV,Compute,136.79,2025-06-08,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-ACI_K8S_Deepdive_container_management.wav
"AZ-104 Access Keys,  key rotation, security.wav","AZ-104-Access_Keys,_key_rotation,_security.wav",WAV,General,39.46,2025-04-05,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Access_Keys,_key_rotation,_security.wav"
AZ-104 App Gateway services  Explained .wav,AZ-104-Networking-App_Gateway_services_Explained.wav,WAV,Networking,45.78,2025-07-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-App_Gateway_services_Explained.wav
AZ-104 App Service intro .wav,AZ-104-Compute-App_Service_intro.wav,WAV,Compute,27.3,2025-05-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-App_Service_intro.wav
AZ-104 Azure App Service topicsmultiple-choice questions .wav,AZ-104-Compute-Azure_App_Service_topicsmultiple-choice_questions.wav,WAV,Compute,70.43,2025-06-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_App_Service_topicsmultiple-choice_questions.wav
AZ-104 Azure DNS + App Gateway services  Explained .wav,AZ-104-Networking-Azure_DNS_+_App_Gateway_services_Explained.wav,WAV,Networking,63.35,2025-07-04,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_DNS_+_App_Gateway_services_Explained.wav
AZ-104 Azure DNS + Load Balancing services  Explained .wav,AZ-104-Networking-Azure_DNS_+_Load_Balancing_services_Explained.wav,WAV,Networking,64.95,2025-07-03,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_DNS_+_Load_Balancing_services_Explained.wav
AZ-104 DNS Explainedwav.wav,AZ-104-Networking-DNS_Explainedwav.wav,WAV,Networking,40.33,2025-06-28,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-DNS_Explainedwav.wav
AZ-104 DNS basic Explained 1 .wav,AZ-104-Networking-DNS_basic_Explained_1.wav,WAV,Networking,43.19,2025-06-28,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-DNS_basic_Explained_1.wav
AZ-104 Firewall vs NAT Gateway-.wav,AZ-104-Networking-Firewall_vs_NAT_Gateway-.wav,WAV,Networking,44.3,2025-06-19,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Firewall_vs_NAT_Gateway-.wav
AZ-104 Lab Review- VM CLI Management & Networkingwav.wav,AZ-104-Networking-Lab_Review-_VM_CLI_Management_&_Networkingwav.wav,WAV,Networking,37.02,2025-05-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Lab_Review-_VM_CLI_Management_&_Networkingwav.wav
"AZ-104 Lab Review- Windows VM, Web Server & Image Capture.wav","AZ-104-Compute-Lab_Review-_Windows_VM,_Web_Server_&_Image_Capture.wav",WAV,Compute,26.63,2025-05-18,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Lab_Review-_Windows_VM,_Web_Server_&_Image_Capture.wav"
"AZ-104 Linux basic commands, .wav","AZ-104-Linux_basic_commands,.wav",WAV,General,37.25,2025-03-30,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Linux_basic_commands,.wav"
AZ-104 Load ballancing Explained .wav,AZ-104-Identity-Load_ballancing_Explained.wav,WAV,Identity,50.16,2025-07-03,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Load_ballancing_Explained.wav
AZ-104 Load ballancing exam style .wav,AZ-104-Identity-Load_ballancing_exam_style.wav,WAV,Identity,47.38,2025-06-29,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Load_ballancing_exam_style.wav
AZ-104 Monitor Logs Alerts Explained.wav,AZ-104-Monitor-Monitor_Logs_Alerts_Explained.wav,WAV,Monitor,53.56,2025-07-13,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Monitor-Monitor_Logs_Alerts_Explained.wav
AZ-104 NSG Explainedwav.wav,AZ-104-Networking-NSG_Explainedwav.wav,WAV,Networking,40.83,2025-06-22,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-NSG_Explainedwav.wav
AZ-104 Network Issues with PowerShell & Linux Tools.wav,AZ-104-Networking-Network_Issues_with_PowerShell_&_Linux_Tools.wav,WAV,Networking,49.85,2025-03-30,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Network_Issues_with_PowerShell_&_Linux_Tools.wav
AZ-104 Permissions & Azure Compute.wav,AZ-104-Compute-Permissions_&_Azure_Compute.wav,WAV,Compute,53.69,2025-03-30,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Permissions_&_Azure_Compute.wav
"AZ-104 PowerShell basics,  .wav","AZ-104-PowerShell_basics,.wav",WAV,General,67.49,2025-03-30,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-PowerShell_basics,.wav"
AZ-104 Resource Management.wav,AZ-104-Resource_Management.wav,WAV,General,48.67,2025-04-04,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Resource_Management.wav
AZ-104 Trusted Launch features .wav,AZ-104-Trusted_Launch_features.wav,WAV,General,51.57,2025-05-24,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Trusted_Launch_features.wav
AZ-104 VNets Contents whats inside .wav,AZ-104-Networking-VNets_Contents_whats_inside.wav,WAV,Networking,65.25,2025-06-18,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-VNets_Contents_whats_inside.wav
AZ-104 VPN ExpressRoute Explained.wav,AZ-104-Networking-VPN_ExpressRoute_Explained.wav,WAV,Networking,47.77,2025-07-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-VPN_ExpressRoute_Explained.wav
AZ-104 VPN Gateway Explained.wav,AZ-104-Networking-VPN_Gateway_Explained.wav,WAV,Networking,56.16,2025-07-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-VPN_Gateway_Explained.wav
AZ-104 VPN Gateway Hybrid Networking Explained.wav,AZ-104-Networking-VPN_Gateway_Hybrid_Networking_Explained.wav,WAV,Networking,73.85,2025-07-05,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-VPN_Gateway_Hybrid_Networking_Explained.wav
AZ-104 Vnet peering lab Breakdown.wav,AZ-104-Networking-Vnet_peering_lab_Breakdown.wav,WAV,Networking,35.45,2025-06-21,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Vnet_peering_lab_Breakdown.wav
AZ-104 azure_app_service.wav,AZ-104-Compute-azure_app_service.wav,WAV,Compute,27.77,2025-05-29,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-azure_app_service.wav
AZ-104 storage access.wav,AZ-104-Storage-storage_access.wav,WAV,Storage,47.14,2025-04-05,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-storage_access.wav
AZ-104 walk through Trusted Launch features .wav,AZ-104-walk_through_Trusted_Launch_features.wav,WAV,General,75.53,2025-05-24,,Conversations /AZ-104 CONVERSATIONS/AZ-104-walk_through_Trusted_Launch_features.wav
"AZ-104_ Simulation + Explanations create username, resources, roles.wav","AZ-104-Networking-Simulation_+_Explanations_create_username,_resources,_roles.wav",WAV,Networking,40.0,2025-04-12,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Simulation_+_Explanations_create_username,_resources,_roles.wav"
AZ-104_Admin_Roadmap.mp4,AZ-104-Identity-Admin_Roadmap.mp4,MP4,Identity,22.17,2025-08-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Admin_Roadmap.mp4
AZ-104_Deep_Dive__Unpacking_Azure_Access_Layers_and_Benchmarkin.m4a,AZ-104-Deep_Dive__Unpacking_Azure_Access_Layers_and_Benchmarkin.m4a,M4A,General,22.21,2025-10-13,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Deep_Dive__Unpacking_Azure_Access_Layers_and_Benchmarkin.m4a
AZ-104_Exam_Fix__Mastering_Azure_Storage_Security_(RBAC_vs.m4a,AZ-104-Storage-Exam_Fix__Mastering_Azure_Storage_Security_(RBAC_vs.m4a,M4A,Storage,44.45,2025-10-05,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Exam_Fix__Mastering_Azure_Storage_Security_(RBAC_vs.m4a
AZ-104_Networking_Blueprint.mp4,AZ-104-Networking-Networking_Blueprint.mp4,MP4,Networking,16.07,2025-09-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Networking_Blueprint.mp4
AZ-104__App_Service_Engine_Mastery.mp4,AZ-104-Compute-App_Service_Engine_Mastery.mp4,MP4,Compute,48.98,2025-11-08,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-App_Service_Engine_Mastery.mp4
AZ-104__From_Clicks_to_Concepts.mp4,AZ-104-From_Clicks_to_Concepts.mp4,MP4,General,35.02,2025-11-03,,Conversations /AZ-104 CONVERSATIONS/AZ-104-From_Clicks_to_Concepts.mp4
AZ-104__From_Fail_to_Master.mp4,AZ-104-From_Fail_to_Master.mp4,MP4,General,35.44,2025-10-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-From_Fail_to_Master.mp4
AZ-104__From_Fail_to_Win.mp4,AZ-104-From_Fail_to_Win.mp4,MP4,General,40.44,2025-10-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-From_Fail_to_Win.mp4
AZ-104__Top_Compute_Traps.mp4,AZ-104-Compute-Top_Compute_Traps.mp4,MP4,Compute,40.24,2025-11-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Top_Compute_Traps.mp4
"AZ-104rusted Launch for Azure VMs,.wav","AZ-104-Compute-rusted_Launch_for_Azure_VMs,.wav",WAV,Compute,44.34,2025-05-24,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-rusted_Launch_for_Azure_VMs,.wav"
"AZ-104storage account types,wav.wav","AZ-104-Storage-storage_account_types,wav.wav",WAV,Storage,72.22,2025-04-04,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-storage_account_types,wav.wav"
AZ_104_Governance_Security_Services_Taming_the_Cloud.mp4,AZ-104-Governance-AZ_104_Governance_Security_Services_Taming_the_Cloud.mp4,MP4,Governance,19.1,2025-10-13,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Governance-AZ_104_Governance_Security_Services_Taming_the_Cloud.mp4
Access_&_Observability.mp4,AZ-104-Monitor-Access_&_Observability.mp4,MP4,Monitor,19.72,2025-10-20,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Monitor-Access_&_Observability.mp4
App_Gateway__Your_AZ-104_Network_Guide.mp4,AZ-104-Networking-App_Gateway__Your_AZ-104_Network_Guide.mp4,MP4,Networking,19.56,2025-09-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-App_Gateway__Your_AZ-104_Network_Guide.mp4
Azure Virtual Machines Deep Dive.wav,AZ-104-Compute-Azure_Virtual_Machines_Deep_Dive.wav,WAV,Compute,36.29,2025-05-25,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_Virtual_Machines_Deep_Dive.wav
Azure architecture hierarchy for AZ-104.wav,AZ-104-Azure_architecture_hierarchy_for_AZ-104.wav,WAV,General,51.67,2025-05-11,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Azure_architecture_hierarchy_for_AZ-104.wav
"AzureStorage_Files_Deep_Dive__RBAC,_WORM,_and_Navigating_the_Port_445_.m4a","AZ-104-Storage-AzureStorage_Files_Deep_Dive__RBAC,_WORM,_and_Navigating_the_Port_445_.m4a",M4A,Storage,32.64,2025-10-05,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-AzureStorage_Files_Deep_Dive__RBAC,_WORM,_and_Navigating_the_Port_445_.m4a"
AzureStorage_Files_for_AZ-104.mp4,AZ-104-Storage-AzureStorage_Files_for_AZ-104.mp4,MP4,Storage,17.61,2025-10-05,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-AzureStorage_Files_for_AZ-104.mp4
"Azure_AZ-104_Deep_Dive__Master_Compute_Deployment,_Security,_and_Cost_Optimization (1).m4a","AZ-104-Compute-Azure_AZ-104_Deep_Dive__Master_Compute_Deployment,_Security,_and_Cost_Optimization_(1).m4a",M4A,Compute,37.24,2025-08-22,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_AZ-104_Deep_Dive__Master_Compute_Deployment,_Security,_and_Cost_Optimization_(1).m4a"
