Original_Name,New_Name,Type,Domain,Size_MB,Date_Modified,Associated_Guide,Local_Path
Azure_Access_Control.mp4,AZ-104-Identity-Azure_Access_Control.mp4,MP4,Identity,16.87,2025-10-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Azure_Access_Control.mp4
Azure_Access_Double_Lock__Mastering_PaaS_Security_with_Endpoint.m4a,AZ-104-Azure_Access_Double_Lock__Mastering_PaaS_Security_with_Endpoint.m4a,M4A,General,30.19,2025-10-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Azure_Access_Double_Lock__Mastering_PaaS_Security_with_Endpoint.m4a
Azure_Access_Understanding Roles & Layers of Control (IAM vs RBAC vs NTFS).m4a,AZ-104-Identity-Azure_Access_Understanding_Roles_&_Layers_of_Control_(IAM_vs_RBAC_vs_NTFS).m4a,M4A,Identity,25.57,2025-10-13,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Azure_Access_Understanding_Roles_&_Layers_of_Control_(IAM_vs_RBAC_vs_NTFS).m4a
Azure_Admin_s_Journey__From_Zero_to_VM_Hero (1).mp4,AZ-104-Compute-Azure_Admin_s_Journey__From_Zero_to_VM_Hero_(1).mp4,MP4,Compute,20.13,2025-08-20,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_Admin_s_Journey__From_Zero_to_VM_Hero_(1).mp4
Azure_Admin_s_Journey__From_Zero_to_VM_Hero.mp4,AZ-104-Compute-Azure_Admin_s_Journey__From_Zero_to_VM_Hero.mp4,MP4,Compute,20.13,2025-08-21,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_Admin_s_Journey__From_Zero_to_VM_Hero.mp4
"Azure_Administration_Deep_Dive__Master_Identity,_Compute,_Networking,_and_Cost_Optimization.m4a","AZ-104-Networking-Azure_Administration_Deep_Dive__Master_Identity,_Compute,_Networking,_and_Cost_Optimization.m4a",M4A,Networking,53.54,2025-08-18,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Administration_Deep_Dive__Master_Identity,_Compute,_Networking,_and_Cost_Optimization.m4a"
Azure_App_Service_Deep_Dive__Engine_vs.m4a,AZ-104-Compute-Azure_App_Service_Deep_Dive__Engine_vs.m4a,M4A,Compute,23.15,2025-11-07,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_App_Service_Deep_Dive__Engine_vs.m4a
Azure_Application_Gateway_Networking_Explained__Your_Smart_Regional_Web_Co.m4a,AZ-104-Networking-Azure_Application_Gateway_Networking_Explained__Your_Smart_Regional_Web_Co.m4a,M4A,Networking,35.62,2025-09-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Application_Gateway_Networking_Explained__Your_Smart_Regional_Web_Co.m4a
Azure_Compute_&_Disk_Mgmt.mp4,AZ-104-Compute-Azure_Compute_&_Disk_Mgmt.mp4,MP4,Compute,34.5,2025-10-29,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_Compute_&_Disk_Mgmt.mp4
Azure_Compute_Certification_Traps__Unlocking_AZ-104_Constraints.m4a,AZ-104-Compute-Azure_Compute_Certification_Traps__Unlocking_AZ-104_Constraints.m4a,M4A,Compute,21.46,2025-11-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_Compute_Certification_Traps__Unlocking_AZ-104_Constraints.m4a
Azure_Compute_Decision_Guide_IaaS_vs_PaaS_vs_Containers_and_the.m4a,AZ-104-Compute-Azure_Compute_Decision_Guide_IaaS_vs_PaaS_vs_Containers_and_the.m4a,M4A,Compute,26.14,2025-10-27,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_Compute_Decision_Guide_IaaS_vs_PaaS_vs_Containers_and_the.m4a
"Azure_Compute_Mastery__Bastion_Security,_B-Series_Costs,_and_th.m4a","AZ-104-Compute-Azure_Compute_Mastery__Bastion_Security,_B-Series_Costs,_and_th.m4a",M4A,Compute,25.0,2025-11-03,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_Compute_Mastery__Bastion_Security,_B-Series_Costs,_and_th.m4a"
Azure_Containers_for_AZ-104.mp4,AZ-104-Compute-Azure_Containers_for_AZ-104.mp4,MP4,Compute,18.29,2025-08-24,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_Containers_for_AZ-104.mp4
"Azure_DNS_Demystified__Conquering_Zone_Apex,_Dangling_Records,_.m4a","AZ-104-Networking-Azure_DNS_Demystified__Conquering_Zone_Apex,_Dangling_Records,_.m4a",M4A,Networking,33.1,2025-09-13,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_DNS_Demystified__Conquering_Zone_Apex,_Dangling_Records,_.m4a"
Azure_Exam_Secrets__The_Three_AZ-104_Procedural_Gaps_That_Guara.m4a,AZ-104-Azure_Exam_Secrets__The_Three_AZ-104_Procedural_Gaps_That_Guara.m4a,M4A,General,23.12,2025-11-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Azure_Exam_Secrets__The_Three_AZ-104_Procedural_Gaps_That_Guara.m4a
Azure_FilesStorage__The_Secure_Path.mp4,AZ-104-Storage-Azure_FilesStorage__The_Secure_Path.mp4,MP4,Storage,25.61,2025-10-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Azure_FilesStorage__The_Secure_Path.mp4
"Azure_Files_Security_Decoded__Network Access to Storage AccountsThe_Three_Gates_of_Identity,_Netw.m4a","AZ-104-Networking-Azure_Files_Security_Decoded__Network_Access_to_Storage_AccountsThe_Three_Gates_of_Identity,_Netw.m4a",M4A,Networking,25.91,2025-10-13,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Files_Security_Decoded__Network_Access_to_Storage_AccountsThe_Three_Gates_of_Identity,_Netw.m4a"
"Azure_Files_Security_Deep_Dive__RBAC,_NTFS,_and_the_Dual_Lock_S.m4a","AZ-104-Identity-Azure_Files_Security_Deep_Dive__RBAC,_NTFS,_and_the_Dual_Lock_S.m4a",M4A,Identity,25.07,2025-10-07,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Azure_Files_Security_Deep_Dive__RBAC,_NTFS,_and_the_Dual_Lock_S.m4a"
Azure_Files_Security_Mastery__Untangling_the_Complex_Knot_of_RBstorage.m4a,AZ-104-Storage-Azure_Files_Security_Mastery__Untangling_the_Complex_Knot_of_RBstorage.m4a,M4A,Storage,34.7,2025-10-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Azure_Files_Security_Mastery__Untangling_the_Complex_Knot_of_RBstorage.m4a
Azure_Firewall__Central_Netwok_Brain.mp4,AZ-104-Networking-Azure_Firewall__Central_Netwok_Brain.mp4,MP4,Networking,20.71,2025-09-07,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Firewall__Central_Netwok_Brain.mp4
"Azure_Fundamentals_&_AZ-104_Deep_Dive__Identity,_Governance,_Networking,_and_the_Power_of_Azure_Fire.m4a","AZ-104-Networking-Azure_Fundamentals_&_AZ-104_Deep_Dive__Identity,_Governance,_Networking,_and_the_Power_of_Azure_Fire.m4a",M4A,Networking,37.17,2025-09-06,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Fundamentals_&_AZ-104_Deep_Dive__Identity,_Governance,_Networking,_and_the_Power_of_Azure_Fire.m4a"
Azure_Gateway_Load_Balancer.mp4,AZ-104-Networking-Azure_Gateway_Load_Balancer.mp4,MP4,Networking,15.13,2025-09-18,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Gateway_Load_Balancer.mp4
Azure_Gateway_Load_Balancer__The_Transparent_Bouncer_for_Your_C.m4a,AZ-104-Networking-Azure_Gateway_Load_Balancer__The_Transparent_Bouncer_for_Your_C.m4a,M4A,Networking,4.12,2025-09-18,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Gateway_Load_Balancer__The_Transparent_Bouncer_for_Your_C.m4a
Azure_Load_Balancing.mp4,AZ-104-Networking-Azure_Load_Balancing.mp4,MP4,Networking,18.79,2025-09-28,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Load_Balancing.mp4
Azure_Monitor_Alerts.mp4,AZ-104-Monitor-Azure_Monitor_Alerts.mp4,MP4,Monitor,19.09,2025-10-19,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Monitor-Azure_Monitor_Alerts.mp4
"Azure_Monitor_Alerts__Signal,_Rule,_Action_Explained_(The_Mecha.m4a","AZ-104-Monitor-Azure_Monitor_Alerts__Signal,_Rule,_Action_Explained_(The_Mecha.m4a",M4A,Monitor,2.96,2025-10-19,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Monitor-Azure_Monitor_Alerts__Signal,_Rule,_Action_Explained_(The_Mecha.m4a"
Azure_Monitor_Foundations.mp4,AZ-104-Monitor-Azure_Monitor_Foundations.mp4,MP4,Monitor,21.71,2025-10-19,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Monitor-Azure_Monitor_Foundations.mp4
"Azure_Monitor_Operations_Overhaul__Using_Triage,_DINE_Policy,_a.m4a","AZ-104-Governance-Azure_Monitor_Operations_Overhaul__Using_Triage,_DINE_Policy,_a.m4a",M4A,Governance,16.87,2025-10-19,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Governance-Azure_Monitor_Operations_Overhaul__Using_Triage,_DINE_Policy,_a.m4a"
Azure_Networking_Blueprint (1).mp4,AZ-104-Networking-Azure_Networking_Blueprint_(1).mp4,MP4,Networking,16.62,2025-09-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Networking_Blueprint_(1).mp4
"Azure_Networking_Deep_Dive_Layer_4_vs_Layer_7,_NVA_Insertion,_a (1).m4a","AZ-104-Networking-Azure_Networking_Deep_Dive_Layer_4_vs_Layer_7,_NVA_Insertion,_a_(1).m4a",M4A,Networking,21.45,2025-09-30,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Networking_Deep_Dive_Layer_4_vs_Layer_7,_NVA_Insertion,_a_(1).m4a"
"Azure_Networking_Deep_Dive_Layer_4_vs_Layer_7,_NVA_Insertion,_a.m4a","AZ-104-Networking-Azure_Networking_Deep_Dive_Layer_4_vs_Layer_7,_NVA_Insertion,_a.m4a",M4A,Networking,21.45,2025-09-28,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_Networking_Deep_Dive_Layer_4_vs_Layer_7,_NVA_Insertion,_a.m4a"
Azure_Storage-permissions_QuizRevision_Files__Two_Keys.mp4,AZ-104-Storage-Azure_Storage-permissions_QuizRevision_Files__Two_Keys.mp4,MP4,Storage,14.05,2025-09-17,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Azure_Storage-permissions_QuizRevision_Files__Two_Keys.mp4
Azure_Storage_&_Entra_ID.mp4,AZ-104-Storage-Azure_Storage_&_Entra_ID.mp4,MP4,Storage,15.62,2025-10-07,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Azure_Storage_&_Entra_ID.mp4
"Azure_VM_Compute Deep Dive Mastery__Stop_Wasting_Money_and_Master_Compute,_Storag.m4a","AZ-104-Compute-Azure_VM_Compute_Deep_Dive_Mastery__Stop_Wasting_Money_and_Master_Compute,_Storag.m4a",M4A,Compute,29.06,2025-10-27,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Azure_VM_Compute_Deep_Dive_Mastery__Stop_Wasting_Money_and_Master_Compute,_Storag.m4a"
Azure_VNet_Security.mp4,AZ-104-Networking-Azure_VNet_Security.mp4,MP4,Networking,16.36,2025-09-03,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_VNet_Security.mp4
Azure_VNet_Topologies.mp4,AZ-104-Networking-Azure_VNet_Topologies.mp4,MP4,Networking,23.33,2025-09-06,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Azure_VNet_Topologies.mp4
Azure__Automation_&_Governance.mp4,AZ-104-Governance-Azure__Automation_&_Governance.mp4,MP4,Governance,20.84,2025-10-13,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Governance-Azure__Automation_&_Governance.mp4
Azure_s_Conceptual_Battlegrounds__Separating_Soft_Delete_from_W.m4a,AZ-104-Azure_s_Conceptual_Battlegrounds__Separating_Soft_Delete_from_W.m4a,M4A,General,30.69,2025-10-19,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Azure_s_Conceptual_Battlegrounds__Separating_Soft_Delete_from_W.m4a
Bicep_vs._Terraform_vs_storage.m4a,AZ-104-Storage-Bicep_vs._Terraform_vs_storage.m4a,M4A,Storage,25.82,2025-10-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Bicep_vs._Terraform_vs_storage.m4a
Building_Highly_Available_Web_Apps_on_Azure__The_3-VM_Deep_Dive.m4a,AZ-104-Compute-Building_Highly_Available_Web_Apps_on_Azure__The_3-VM_Deep_Dive.m4a,M4A,Compute,22.65,2025-09-30,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Building_Highly_Available_Web_Apps_on_Azure__The_3-VM_Deep_Dive.m4a
Choosing_Azure_Load_Balancers.mp4,AZ-104-Networking-Choosing_Azure_Load_Balancers.mp4,MP4,Networking,20.33,2025-09-21,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Choosing_Azure_Load_Balancers.mp4
Choosing_Azurenetwork_Load_Balancers.mp4,AZ-104-Networking-Choosing_Azurenetwork_Load_Balancers.mp4,MP4,Networking,20.33,2025-09-20,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Choosing_Azurenetwork_Load_Balancers.mp4
Compute_Core_Reinforcement.mp4,AZ-104-Compute-Compute_Core_Reinforcement.mp4,MP4,Compute,41.44,2025-10-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Compute_Core_Reinforcement.mp4
Connecting_Network_Your_Custom_Domain.mp4,AZ-104-Networking-Connecting_Network_Your_Custom_Domain.mp4,MP4,Networking,16.62,2025-09-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Connecting_Network_Your_Custom_Domain.mp4
Conquering_the_AZ-104.mp4,AZ-104-Conquering_the_AZ-104.mp4,MP4,General,18.45,2025-09-03,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Conquering_the_AZ-104.mp4
Cracking_the_Code__Azure_DNS.mp4,AZ-104-Networking-Cracking_the_Code__Azure_DNS.mp4,MP4,Networking,22.67,2025-09-13,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Cracking_the_Code__Azure_DNS.mp4
Docker_to_Azure__Your_App_s_Journey_from_Local_Build_to_Cloud_Deployment_(Gotchas_&_Solutions).m4a,AZ-104-Compute-Docker_to_Azure__Your_App_s_Journey_from_Local_Build_to_Cloud_Deployment_(Gotchas_&_Solutions).m4a,M4A,Compute,29.51,2025-08-26,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Docker_to_Azure__Your_App_s_Journey_from_Local_Build_to_Cloud_Deployment_(Gotchas_&_Solutions).m4a
Entra_ID_vs (1).mp4,AZ-104-Identity-Entra_ID_vs_(1).mp4,MP4,Identity,19.59,2025-10-11,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Entra_ID_vs_(1).mp4
Entra_ID_vs.m4a,AZ-104-Identity-Entra_ID_vs.m4a,M4A,Identity,29.8,2025-10-11,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Entra_ID_vs.m4a
Hubspoke_Secure_Azure_Lab_Breakdown.mp4,AZ-104-Hubspoke_Secure_Azure_Lab_Breakdown.mp4,MP4,General,19.05,2025-09-06,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Hubspoke_Secure_Azure_Lab_Breakdown.mp4
"Lab Review- Windows VM, Web Server & Image Capture.wav","AZ-104-Compute-Lab_Review-_Windows_VM,_Web_Server_&_Image_Capture.wav",WAV,Compute,26.63,2025-05-18,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Lab_Review-_Windows_VM,_Web_Server_&_Image_Capture.wav"
Mapping_the_AZ-104_Administrator_Exam.mp4,AZ-104-Identity-Mapping_the_AZ-104_Administrator_Exam.mp4,MP4,Identity,19.39,2025-08-19,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Mapping_the_AZ-104_Administrator_Exam.mp4
Mastering_Azure network _Firewall.mp4,AZ-104-Networking-Mastering_Azure_network__Firewall.mp4,MP4,Networking,16.28,2025-09-07,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Mastering_Azure_network__Firewall.mp4
Mastering_Azure_Backup_&_Site_Recovery.mp4,AZ-104-Storage-Mastering_Azure_Backup_&_Site_Recovery.mp4,MP4,Storage,45.45,2025-10-29,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Mastering_Azure_Backup_&_Site_Recovery.mp4
Mastering_Azure_Compute.mp4,AZ-104-Compute-Mastering_Azure_Compute.mp4,MP4,Compute,34.77,2025-11-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Mastering_Azure_Compute.mp4
Mastering_Azure_Firewall_Rules.mp4,AZ-104-Networking-Mastering_Azure_Firewall_Rules.mp4,MP4,Networking,24.83,2025-09-08,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Mastering_Azure_Firewall_Rules.mp4
Mastering_Azure_Quiz_overview.mp4,AZ-104-Mastering_Azure_Quiz_overview.mp4,MP4,General,18.41,2025-10-05,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Mastering_Azure_Quiz_overview.mp4
"Mastering_Azure_VM_Scale_Sets__Scalable,_Resilient_Compute_for_Dynamic_Workloads_&_AZ-104_Exam_Succe.m4a","AZ-104-Compute-Mastering_Azure_VM_Scale_Sets__Scalable,_Resilient_Compute_for_Dynamic_Workloads_&_AZ-104_Exam_Succe.m4a",M4A,Compute,27.59,2025-08-18,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Mastering_Azure_VM_Scale_Sets__Scalable,_Resilient_Compute_for_Dynamic_Workloads_&_AZ-104_Exam_Succe.m4a"
Mastering_Compute_Azure_VM_Internals-Compute.mp4,AZ-104-Compute-Mastering_Compute_Azure_VM_Internals-Compute.mp4,MP4,Compute,39.57,2025-10-27,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Mastering_Compute_Azure_VM_Internals-Compute.mp4
Migrating_Encrypted_Azure_VMs.mp4,AZ-104-Compute-Migrating_Encrypted_Azure_VMs.mp4,MP4,Compute,28.23,2025-11-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-Migrating_Encrypted_Azure_VMs.mp4
Network Access to Storage Accounts_Azure.mp4,AZ-104-Networking-Network_Access_to_Storage_Accounts_Azure.mp4,MP4,Networking,18.94,2025-10-13,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Network_Access_to_Storage_Accounts_Azure.mp4
"RBAC vs. Entra DS- The Five Pillars of Hybrid Azure Mastery, Explained with Essential Mnemonics.m4a","AZ-104-Identity-RBAC_vs._Entra_DS-_The_Five_Pillars_of_Hybrid_Azure_Mastery,_Explained_with_Essential_Mnemonics.m4a",M4A,Identity,26.96,2025-11-08,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-RBAC_vs._Entra_DS-_The_Five_Pillars_of_Hybrid_Azure_Mastery,_Explained_with_Essential_Mnemonics.m4a"
Resilient_Web_Apps_in_Azure network.mp4,AZ-104-Networking-Resilient_Web_Apps_in_Azure_network.mp4,MP4,Networking,16.95,2025-09-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Resilient_Web_Apps_in_Azure_network.mp4
Securing_Azure_Files storage.mp4,AZ-104-Storage-Securing_Azure_Files_storage.mp4,MP4,Storage,18.17,2025-10-12,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-Securing_Azure_Files_storage.mp4
Securing_Azure_PaaS.mp4,AZ-104-Securing_Azure_PaaS.mp4,MP4,General,19.32,2025-10-14,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Securing_Azure_PaaS.mp4
Service_vs.mp4,AZ-104-Service_vs.mp4,MP4,General,22.52,2025-09-03,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Service_vs.mp4
Sticky_Sessions_Kill_Your_Scale_Why_AzureNetwork_Load_Balancer_Session.m4a,AZ-104-Networking-Sticky_Sessions_Kill_Your_Scale_Why_AzureNetwork_Load_Balancer_Session.m4a,M4A,Networking,3.05,2025-09-21,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Sticky_Sessions_Kill_Your_Scale_Why_AzureNetwork_Load_Balancer_Session.m4a
The_Deep_Dive__Untangling_Azure_Administration_from_Identity_to_Cost_Management.m4a,AZ-104-Identity-The_Deep_Dive__Untangling_Azure_Administration_from_Identity_to_Cost_Management.m4a,M4A,Identity,63.82,2025-08-18,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-The_Deep_Dive__Untangling_Azure_Administration_from_Identity_to_Cost_Management.m4a
"The_Duality_of_Azure_Access__Conquering_AZ-104_Storage,_Governa.m4a","AZ-104-Storage-The_Duality_of_Azure_Access__Conquering_AZ-104_Storage,_Governa.m4a",M4A,Storage,26.81,2025-10-05,,"Conversations /AZ-104 CONVERSATIONS/AZ-104-Storage-The_Duality_of_Azure_Access__Conquering_AZ-104_Storage,_Governa.m4a"
The_IaC_Understanding Roles & Layers of Control (IAM vs RBAC vs NTFS).mp4,AZ-104-Identity-The_IaC_Understanding_Roles_&_Layers_of_Control_(IAM_vs_RBAC_vs_NTFS).mp4,MP4,Identity,19.79,2025-10-13,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-The_IaC_Understanding_Roles_&_Layers_of_Control_(IAM_vs_RBAC_vs_NTFS).mp4
Troubleshoot_Load_Balancer_Network_Azure.mp4,AZ-104-Networking-Troubleshoot_Load_Balancer_Network_Azure.mp4,MP4,Networking,17.02,2025-09-21,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-Troubleshoot_Load_Balancer_Network_Azure.mp4
VABRF__The_5-Step_Azure_Resilience_Blueprint_for_Ransomware_and.m4a,AZ-104-VABRF__The_5-Step_Azure_Resilience_Blueprint_for_Ransomware_and.m4a,M4A,General,25.8,2025-10-29,,Conversations /AZ-104 CONVERSATIONS/AZ-104-VABRF__The_5-Step_Azure_Resilience_Blueprint_for_Ransomware_and.m4a
VMSS_vs.mp4,AZ-104-Compute-VMSS_vs.mp4,MP4,Compute,18.36,2025-08-19,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Compute-VMSS_vs.mp4
VNet_Peering__Missing_Route.mp4,AZ-104-Networking-VNet_Peering__Missing_Route.mp4,MP4,Networking,16.81,2025-09-01,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Networking-VNet_Peering__Missing_Route.mp4
Your_Guide_to_the_AZ-104_Exam.mp4,AZ-104-Your_Guide_to_the_AZ-104_Exam.mp4,MP4,General,18.36,2025-08-25,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Your_Guide_to_the_AZ-104_Exam.mp4
Your_Map_to_the_AZ-104_Azure_Administrator_Exam.mp4,AZ-104-Identity-Your_Map_to_the_AZ-104_Azure_Administrator_Exam.mp4,MP4,Identity,21.31,2025-08-19,,Conversations /AZ-104 CONVERSATIONS/AZ-104-Identity-Your_Map_to_the_AZ-104_Azure_Administrator_Exam.mp4
